Crash ID,$1000 Damage to Any One Person's Property,Agency,Case ID,City,Contributing Factors,County,Crash Date,Crash Severity,Fatal Crash Flag,Intersecting Street Number,Nearest Trauma Center,Nearest Trauma Center Distance,Region,Contributing Factor 1,Contributing Factor 2,Contributing Factor 3,Driver Zip Code,Lessee/Owner Zip Code,Vehicle Hit and Run Flag,VIN,Person Age,Person Gender,Person Injury Severity,Person Non-Suspected Serious Injury Count,Person Number,Physical Location of An Occupant
20744074,Yes,WYLIE POLICE DEPARTMENT,25013027,WYLIE,IMPAIRED VISIBILITY (EXPLAIN IN NARRATIVE); TURNED WHEN UNSAFE,COLLIN,2025-04-07,N - NOT INJURED,0,NO DATA,186 - METHODIST RICHARDSON MEDICAL CENTER,6.983,3,No Data,No Data,No Data,75098,75098,No,1HGCM56477A029929,19,1 - MALE,N - NOT INJURED,0,2,3 - FRONT RIGHT
20744077,Yes,TYLER POLICE DEPARTMENT,25-005016,TYLER,FAILED TO CONTROL SPEED,SMITH,2025-04-07,N - NOT INJURED,0,NO DATA,288 - UT HEALTH EAST TEXAS TYLER REGIONAL HOSPITAL,0.224,,22 - FAILED TO CONTROL SPEED,No Data,No Data,75783,75783,No,1GYKNDRS7KZ295712,66,2 - FEMALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20744077,Yes,TYLER POLICE DEPARTMENT,25-005016,TYLER,FAILED TO CONTROL SPEED,SMITH,2025-04-07,N - NOT INJURED,0,NO DATA,288 - UT HEALTH EAST TEXAS TYLER REGIONAL HOSPITAL,0.224,,22 - FAILED TO CONTROL SPEED,No Data,No Data,75783,75783,No,1GYKNDRS7KZ295712,68,1 - MALE,N - NOT INJURED,0,2,3 - FRONT RIGHT
20744077,Yes,TYLER POLICE DEPARTMENT,25-005016,TYLER,FAILED TO CONTROL SPEED,SMITH,2025-04-07,N - NOT INJURED,0,NO DATA,288 - UT HEALTH EAST TEXAS TYLER REGIONAL HOSPITAL,0.224,,No Data,No Data,No Data,75762,75701,No,3GCNAAEKXPG345481,46,1 - MALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20744078,Yes,TYLER POLICE DEPARTMENT,25-005010,TYLER,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE,SMITH,2025-04-07,N - NOT INJURED,0,NO DATA,49 - CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,2.477,,34 - FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE,No Data,No Data,75702,75702,No,5YFBURHEXJP809059,64,1 - MALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20744078,Yes,TYLER POLICE DEPARTMENT,25-005010,TYLER,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE,SMITH,2025-04-07,N - NOT INJURED,0,NO DATA,49 - CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,2.477,,No Data,No Data,No Data,75702,75702,No,KMHDH4AE9CU261048,37,2 - FEMALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20744078,Yes,TYLER POLICE DEPARTMENT,25-005010,TYLER,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE,SMITH,2025-04-07,N - NOT INJURED,0,NO DATA,49 - CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,2.477,,No Data,No Data,No Data,75702,75702,No,KMHDH4AE9CU261048,44,2 - FEMALE,N - NOT INJURED,0,2,3 - FRONT RIGHT
20744079,Yes,TYLER POLICE DEPARTMENT,25-005024,TYLER,FAILED TO CONTROL SPEED,SMITH,2025-04-07,B - SUSPECTED MINOR INJURY,0,NO DATA,288 - UT HEALTH EAST TEXAS TYLER REGIONAL HOSPITAL,2.517,,22 - FAILED TO CONTROL SPEED,No Data,No Data,75766,75766,No,KNAGN4A7XB5072202,15,2 - FEMALE,N - NOT INJURED,0,1,1 - FRONT LEFT OR MOTORCYCLE DRIVER
20744079,Yes,TYLER POLICE DEPARTMENT,25-005024,TYLER,FAILED TO CONTROL SPEED,SMITH,2025-04-07,B - SUSPECTED MINOR INJURY,0,NO DATA,288 - UT HEALTH EAST TEXAS TYLER REGIONAL HOSPITAL,2.517,,22 - FAILED TO CONTROL SPEED,No Data,No Data,75766,75766,No,KNAGN4A7XB5072202,14,2 - FEMALE,C - POSSIBLE INJURY,0,2,5 - SECOND SEAT CENTER
20744079,Yes,TYLER POLICE DEPARTMENT,25-005024,TYLER,FAILED TO CONTROL SPEED,SMITH,2025-04-07,B - SUSPECTED MINOR INJURY,0,NO DATA,288 - UT HEALTH EAST TEXAS TYLER REGIONAL HOSPITAL,2.517,,22 - FAILED TO CONTROL SPEED,No Data,No Data,75766,75766,No,KNAGN4A7XB5072202,15,2 - FEMALE,C - POSSIBLE INJURY,0,3,3 - FRONT RIGHT
