"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 04/08/2025. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 311 Crashes containing 605 Units and 737 Persons"

"Filters Applied to current Query:"
"Crash Date Is Between  2025-04-04 00:00 and 2025-04-07 23:59"
""


"Crash ID","$1000 Damage to Any One Person's Property","Agency","Case ID","City","Contributing Factors","County","Crash Date","Crash Severity","Fatal Crash Flag","Intersecting Street Number","Nearest Trauma Center","Nearest Trauma Center Distance","Region","Contributing Factor 1","Contributing Factor 2","Contributing Factor 3","Driver Zip Code","Lessee/Owner Zip Code","Vehicle Hit and Run Flag","VIN","Person Age","Person Gender","Person Injury Severity","Person Non-Suspected Serious Injury Count","Person Number","Physical Location of An Occupant"
"20738002","Yes","COLLIN COUNTY SHERIFF'S OFFICE","25072578","OUTSIDE CITY LIMITS","FAILED TO CONTROL SPEED","COLLIN","2025-04-04","N - NOT INJURED","0","NO DATA","19 - BAYLOR SCOTT & WHITE MEDICAL CENTER - LAKE POINTE","10.714","1","No Data","No Data","No Data","75442","75442","No","1N4AL3AP6GC271555","31","2 - FEMALE","N - NOT INJURED","0","1","1 - FRONT LEFT OR MOTORCYCLE DRIVER"
"20738017","Yes","DALLAS POLICE DEPARTMENT","46854-2025","DALLAS","UNSAFE SPEED","DALLAS","2025-04-04","N - NOT INJURED","0","NO DATA","174 - METHODIST DALLAS MEDICAL CENTER","1.684","","60 - UNSAFE SPEED","No Data","No Data","76207","76207","No","KNAFE121375388021","27","1 - MALE","N - NOT INJURED","0","1","1 - FRONT LEFT OR MOTORCYCLE DRIVER"
"20738032","Yes","BAYTOWN POLICE DEPARTMENT","25-16040","BAYTOWN","DRIVER INATTENTION","CHAMBERS","2025-04-04","N - NOT INJURED","0","NO DATA","122 - HCA HOUSTON HEALTHCARE SOUTHEAST","20.298","","20 - DRIVER INATTENTION","No Data","No Data","77520","77520","No","4T1B11HKXJU091463","24","1 - MALE","N - NOT INJURED","0","1","1 - FRONT LEFT OR MOTORCYCLE DRIVER"
"20738032","Yes","BAYTOWN POLICE DEPARTMENT","25-16040","BAYTOWN","DRIVER INATTENTION","CHAMBERS","2025-04-04","N - NOT INJURED","0","NO DATA","122 - HCA HOUSTON HEALTHCARE SOUTHEAST","20.298","","No Data","No Data","No Data","77520","77520","No","1GTG5CEN8M1133045","23","1 - MALE","N - NOT INJURED","0","1","1 - FRONT LEFT OR MOTORCYCLE DRIVER"
"20738063","Yes","SOUTHLAKE POLICE DEPARTMENT","CFS25066522","SOUTHLAKE","FAILED TO DRIVE IN SINGLE LANE","TARRANT","2025-04-04","N - NOT INJURED","0","NO DATA","17 - BAYLOR SCOTT & WHITE MEDICAL CENTER - GRAPEVINE","4.772","","23 - FAILED TO DRIVE IN SINGLE LANE","No Data","No Data","76092","76092","No","JM3KFBAY6P0206917","16","2 - FEMALE","N - NOT INJURED","0","1","1 - FRONT LEFT OR MOTORCYCLE DRIVER"
"20738067","Yes","THE COLONY POLICE DEPARTMENT","2025-4758","THE COLONY","DRIVER INATTENTION","DENTON","2025-04-04","N - NOT INJURED","0","NO DATA","260 - TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO","3.995","","20 - DRIVER INATTENTION","No Data","No Data","75033","75033","No","4T1BF28BX4U351307","20","1 - MALE","N - NOT INJURED","0","1","1 - FRONT LEFT OR MOTORCYCLE DRIVER"
"20738067","Yes","THE COLONY POLICE DEPARTMENT","2025-4758","THE COLONY","DRIVER INATTENTION","DENTON","2025-04-04","N - NOT INJURED","0","NO DATA","260 - TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO","3.995","","No Data","No Data","No Data","76227","76227","No","3KPF24AD8NE416342","25","2 - FEMALE","N - NOT INJURED","0","1","1 - FRONT LEFT OR MOTORCYCLE DRIVER"
"20738067","Yes","THE COLONY POLICE DEPARTMENT","2025-4758","THE COLONY","DRIVER INATTENTION","DENTON","2025-04-04","N - NOT INJURED","0","NO DATA","260 - TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO","3.995","","No Data","No Data","No Data","75068","75068","No","3N1AB7AP1FY268849","52","2 - FEMALE","N - NOT INJURED","0","1","1 - FRONT LEFT OR MOTORCYCLE DRIVER"
"20738108","Yes","MANOR POLICE DEPARTMENT","250940157","MANOR","FAILED TO CONTROL SPEED","TRAVIS","2025-04-04","N - NOT INJURED","0","NO DATA","87 - DELL CHILDRENS MEDICAL CENTER","10.501","","22 - FAILED TO CONTROL SPEED","No Data","No Data","78681","78653","No","4DRBUC8N8GB736368","41","1 - MALE","N - NOT INJURED","0","1","1 - FRONT LEFT OR MOTORCYCLE DRIVER"
"20738108","Yes","MANOR POLICE DEPARTMENT","250940157","MANOR","FAILED TO CONTROL SPEED","TRAVIS","2025-04-04","N - NOT INJURED","0","NO DATA","87 - DELL CHILDRENS MEDICAL CENTER","10.501","","22 - FAILED TO CONTROL SPEED","No Data","No Data","78681","78653","No","4DRBUC8N8GB736368","11","99 - UNKNOWN","N - NOT INJURED","0","2","14 - PASSENGER IN BUS"
